Group -> 0 	| 0.721928 -> 1 | index -> 0 | features chosen -> 0 | 1 1 0 0 
Group -> 0 	| 0.170951 -> 1 | index -> 1 | features chosen -> 0 | 1 1 1 1 
Group -> 0 	| 0.170951 -> 1 | index -> 2 | features chosen -> 0 | 1 1 1 1 
Group -> 0 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 0 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 0 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.721928 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 0 	| 0.170951 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 0 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.970951 -> 0 | index -> 0 | features chosen -> 2 | 1 1 0 0 
Group -> 0 	| 0.419973 -> 1 | index -> 1 | features chosen -> 2 | 1 1 1 1 
Group -> 0 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
Group -> 1 	| 0.721928 -> 0 | index -> 0 | features chosen -> 0 | 0 1 0 0 
Group -> 1 	| 0.419973 -> 1 | index -> 1 | features chosen -> 0 | 1 1 0 1 
Group -> 1 	| 0.170951 -> 1 | index -> 2 | features chosen -> 2 | 1 1 1 1 
