0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 0
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 0
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 0
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 0
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 0
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 0
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 0
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 0
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 0
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 0
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 0
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 0
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 0
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 0
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 0
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 0
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 0
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 0
0.721928 0.000000 0.321928 0.721928  	|	 index -> 0 |	 group -> 1
0.170951 0.000000 0.019973 0.170951  	|	 index -> 1 |	 group -> 1
0.170951 0.000000 0.419973 0.170951  	|	 index -> 2 |	 group -> 1
0.970951 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 1
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 1
0.419973 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 1
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 1
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 1
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 1
0.721928 0.000000 0.321928 0.721928  	|	 index -> 0 |	 group -> 1
0.170951 0.000000 0.019973 0.170951  	|	 index -> 1 |	 group -> 1
0.170951 0.000000 0.419973 0.170951  	|	 index -> 2 |	 group -> 1
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 1
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 1
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 1
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 1
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 1
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 1
0.000000 0.000000 0.721928 0.321928  	|	 index -> 0 |	 group -> 2
0.000000 0.000000 0.170951 0.019973  	|	 index -> 1 |	 group -> 2
0.000000 0.000000 0.170951 0.419973  	|	 index -> 2 |	 group -> 2
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 2
0.072906 0.721928 0.170951 0.170951  	|	 index -> 1 |	 group -> 2
0.170951 0.170951 0.419973 0.419973  	|	 index -> 2 |	 group -> 2
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 2
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 2
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 2
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 2
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 2
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 2
0.321928 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 2
0.072906 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 2
0.170951 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 2
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 2
0.000000 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 2
0.000000 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 2
0.000000 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 3
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 3
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 3
0.000000 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 3
0.000000 0.072906 0.170951 0.170951  	|	 index -> 1 |	 group -> 3
0.000000 0.321928 0.419973 0.419973  	|	 index -> 2 |	 group -> 3
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 3
0.170951 0.321928 0.419973 0.419973  	|	 index -> 1 |	 group -> 3
0.072906 0.072906 0.170951 0.170951  	|	 index -> 2 |	 group -> 3
0.721928 0.000000 0.721928 0.721928  	|	 index -> 0 |	 group -> 3
0.170951 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 3
0.170951 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 3
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 3
0.000000 0.000000 0.170951 0.170951  	|	 index -> 1 |	 group -> 3
0.000000 0.000000 0.419973 0.419973  	|	 index -> 2 |	 group -> 3
0.000000 0.000000 0.970951 0.970951  	|	 index -> 0 |	 group -> 3
0.000000 0.000000 0.419973 0.419973  	|	 index -> 1 |	 group -> 3
0.000000 0.000000 0.170951 0.170951  	|	 index -> 2 |	 group -> 3
0.000000 0.170951 0.721928 0.721928  	|	 index -> 0 |	 group -> 4
0.000000 0.019973 0.170951 0.170951  	|	 index -> 1 |	 group -> 4
0.000000 0.019973 0.170951 0.170951  	|	 index -> 2 |	 group -> 4
0.321928 0.170951 0.970951 0.970951  	|	 index -> 0 |	 group -> 4
