group => 1 	    - 5.10 | 3.50 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 17.85 | 0.28    |	 0 1 0 0
group => 1 	    - 7.00 | 3.20 | 4.70 | 1.40 | Iris-versicolor	 => 1 | 22.40 | 6.58	|	 1 1 1 1
group => 1 	    - 6.30 | 3.30 | 6.00 | 2.50 | Iris-virginica	 => 2 | 20.79 | 15.00	|	 1 1 1 1
group => 1 	    - 4.90 | 3.00 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 14.70 | 0.28    |	 0 0 0 0
group => 1 	    - 5.70 | 2.80 | 4.10 | 1.30 | Iris-versicolor	 => 1 | 15.96 | 5.33	|	 0 0 1 1
group => 1 	    - 5.80 | 2.70 | 5.10 | 1.90 | Iris-virginica	 => 2 | 15.66 | 9.69	|	 0 0 1 1
group => 2 	    - 4.70 | 3.20 | 1.30 | 0.20 | Iris-setosa    	 => 0 | 15.04 | 0.26	|	 0 1 0 0
group => 2 	    - 5.10 | 2.50 | 3.00 | 1.10 | Iris-versicolor	 => 1 | 12.75 | 3.30	|	 0 0 0 0
group => 2 	    - 7.10 | 3.00 | 5.90 | 2.10 | Iris-virginica	 => 2 | 21.30 | 12.39	|	 1 1 1 1
group => 2 	    - 4.60 | 3.10 | 1.50 | 0.20 | Iris-setosa    	 => 0 | 14.26 | 0.30	|	 0 1 0 0
group => 2 	    - 5.80 | 2.60 | 4.00 | 1.20 | Iris-versicolor	 => 1 | 15.08 | 4.80	|	 1 0 1 1
group => 2 	    - 6.30 | 2.90 | 5.60 | 1.80 | Iris-virginica	 => 2 | 18.27 | 10.08	|	 1 1 1 1
group => 3 	    - 5.00 | 3.60 | 1.40 | 0.20 | Iris-setosa    	 => 0 | 18.00 | 0.28	|	 0 1 0 0
group => 3 	    - 6.10 | 3.00 | 4.60 | 1.40 | Iris-versicolor	 => 1 | 18.30 | 6.44	|	 1 0 1 1
group => 3 	    - 6.50 | 3.00 | 5.80 | 2.20 | Iris-virginica	 => 2 | 19.50 | 12.76	|	 1 0 1 1
group => 3 	    - 5.40 | 3.90 | 1.70 | 0.40 | Iris-setosa    	 => 0 | 21.06 | 0.68	|	 0 1 0 0
group => 3 	    - 5.50 | 2.60 | 4.40 | 1.20 | Iris-versicolor	 => 1 | 14.30 | 5.28	|	 0 0 1 0
group => 3 	    - 7.60 | 3.00 | 6.60 | 2.10 | Iris-virginica	 => 2 | 22.80 | 13.86	|	 1 0 1 1
group => 4 	    - 4.60 | 3.40 | 1.40 | 0.30 | Iris-setosa    	 => 0 | 15.64 | 0.42	|	 0 1 0 0
group => 4 	    - 5.50 | 2.50 | 4.00 | 1.30 | Iris-versicolor	 => 1 | 13.75 | 5.20	|	 1 0 1 1
group => 4 	    - 4.90 | 2.50 | 4.50 | 1.70 | Iris-virginica	 => 2 | 12.25 | 7.65	|	 0 0 1 1
group => 4 	    - 5.00 | 3.40 | 1.50 | 0.20 | Iris-setosa    	 => 0 | 17.00 | 0.30	|	 0 1 0 0
group => 4 	    - 5.60 | 3.00 | 4.10 | 1.30 | Iris-versicolor	 => 1 | 16.80 | 5.33	|	 1 1 1 1
group => 4 	    - 7.30 | 2.90 | 6.30 | 1.80 | Iris-virginica	 => 2 | 21.17 | 11.34	|	 1 0 1 1
group => 5 	    - 5.10 | 3.50 | 1.40 | 0.30 | Iris-setosa    	 => 0 | 17.85 | 0.42	|	 0 1 0 0
group => 5 	    - 6.30 | 2.30 | 4.40 | 1.30 | Iris-versicolor	 => 1 | 14.49 | 5.72	|	 1 0 1 1
group => 5 	    - 6.70 | 2.50 | 5.80 | 1.80 | Iris-virginica	 => 2 | 16.75 | 10.44	|	 1 0 1 1
group => 5 	    - 5.70 | 3.80 | 1.70 | 0.30 | Iris-setosa    	 => 0 | 21.66 | 0.51	|	 0 1 0 0
group => 5 	    - 6.70 | 3.10 | 4.70 | 1.50 | Iris-versicolor	 => 1 | 20.77 | 7.05	|	 1 0 1 1
group => 5 	    - 7.20 | 3.60 | 6.10 | 2.50 | Iris-virginica	 => 2 | 25.92 | 15.25	|	 1 1 1 1
group => 6 	    - 5.10 | 3.80 | 1.50 | 0.30 | Iris-setosa    	 => 0 | 19.38 | 0.45	|	 0 1 0 0
group => 6 	    - 6.00 | 3.40 | 4.50 | 1.60 | Iris-versicolor	 => 1 | 20.40 | 7.20	|	 1 1 1 1
group => 6 	    - 6.50 | 3.20 | 5.10 | 2.00 | Iris-virginica	 => 2 | 20.80 | 10.20	|	 1 0 1 1
group => 6 	    - 5.40 | 3.40 | 1.70 | 0.20 | Iris-setosa    	 => 0 | 18.36 | 0.34	|	 0 1 0 0
group => 6 	    - 5.40 | 3.00 | 4.50 | 1.50 | Iris-versicolor	 => 1 | 16.20 | 6.75	|	 0 0 1 1
group => 6 	    - 6.40 | 2.70 | 5.30 | 1.90 | Iris-virginica	 => 2 | 17.28 | 10.07	|	 1 0 1 1
group => 7 	    - 5.10 | 3.70 | 1.50 | 0.40 | Iris-setosa    	 => 0 | 18.87 | 0.60	|	 0 1 0 0
group => 7 	    - 6.00 | 2.70 | 5.10 | 1.60 | Iris-versicolor	 => 1 | 16.20 | 8.16	|	 1 0 1 1
group => 7 	    - 6.80 | 3.00 | 5.50 | 2.10 | Iris-virginica	 => 2 | 20.40 | 11.55	|	 1 1 1 1
group => 7 	    - 4.60 | 3.60 | 1.00 | 0.20 | Iris-setosa    	 => 0 | 16.56 | 0.20	|	 0 1 0 0
group => 7 	    - 5.80 | 2.70 | 3.90 | 1.20 | Iris-versicolor	 => 1 | 15.66 | 4.68	|	 1 0 1 1
group => 7 	    - 6.00 | 2.20 | 5.00 | 1.50 | Iris-virginica	 => 2 | 13.20 | 7.50	|	 1 0 1 1
group => 8 	    - 5.10 | 3.30 | 1.70 | 0.50 | Iris-setosa    	 => 0 | 16.83 | 0.85	|	 0 1 0 0
group => 8 	    - 5.50 | 2.40 | 3.70 | 1.00 | Iris-versicolor	 => 1 | 13.20 | 3.70	|	 0 0 1 0
group => 8 	    - 6.90 | 3.20 | 5.70 | 2.30 | Iris-virginica	 => 2 | 22.08 | 13.11	|	 1 1 1 1
group => 8 	    - 4.80 | 3.40 | 1.90 | 0.20 | Iris-setosa    	 => 0 | 16.32 | 0.38	|	 0 1 0 0
